Net Income to Total Assets,Debt Ratio,Working Capital to Total Assets,Current Ratio,Retained Earnings to Total Assets,ROA before interest and after tax,Total Asset Turnover,Net Worth to Assets,Gross Profit to Sales,Bankrupt
0.4671530520499897,0.47276090527998704,0.9993196425742056,1.474068957276893e-10,0.4842945674183355,0.4439015603244511,9.013652218954238e-06,0.5863940955139912,0.12563365762830037,1
0.4676349722712883,0.4727209856509454,0.9994825160450014,1.4877316575189118e-10,0.4843210402768741,0.4439991207154826,6.70529036975187e-06,0.5864384986507009,0.12563448968140978,1
0.4675082603169101,0.4727608389683109,0.9996455046468202,1.5078274677403567e-10,0.4843009179416105,0.443965525925659,1.6268943015066642e-06,0.5863941692733545,0.12563365725414558,1
0.46729255190833624,0.4726993680445209,0.9994297949511151,1.4811056676988333e-10,0.4842980641641188,0.443924595416778,9.321433798847886e-06,0.5864625442031383,0.12563196044109518,1
0.46763324450295335,0.47265006531330417,0.9994839954517486,1.487754349264871e-10,0.48430467089881885,0.44399930761278344,1.8093208825816832e-05,0.5865173842897554,0.12563340452533492,1
0.46711358495669847,0.4727311313373962,0.9993486540382777,1.4758184908903456e-10,0.48429439292843107,0.4438936639134912,9.936996958635187e-06,0.5864272134681152,0.12563258896056956,1
0.46727451991942953,0.47277025522632404,0.9994374094773761,1.4828438554393057e-10,0.4843023804345202,0.44391982953560694,1.0398669328475683e-05,0.5863836954437652,0.125635409750493,0
0.4677581570887435,0.4726519220402363,0.9995779383190493,1.5009722912860898e-10,0.4843252090117011,0.4440271553106066,2.255604173427482e-05,0.5865153190275829,0.1256336847263671,0
0.4676862662927214,0.4725975133099562,0.9996127277173742,1.5149413300985574e-10,0.48432497214811626,0.44400505470478385,1.5938737766561322e-05,0.5865758385851746,0.12563386226457374,0
0.4676896287026251,0.4726662785181226,0.9996375912148796,1.5075801277094016e-10,0.48432791006291154,0.44401000748325575,3.579064966970172e-05,0.5864993501254274,0.1256334446503975,0
0.46775054127592286,0.47264684919701094,0.9994827102938313,1.4880266502163814e-10,0.4843322261531374,0.44402425840244375,7.936416689326471e-06,0.5865209616188757,0.12563484821031648,0
0.4676938813991419,0.47263676982223635,0.9995199473749312,1.497232691552018e-10,0.48432283743335647,0.4440089795481012,6.5513995798050454e-06,0.586532173042098,0.12563576597450135,0
0.46768388820330187,0.4726919079809541,0.9995009984651724,1.4899667944958903e-10,0.4843201601608709,0.4440105681751582,1.2860921967624823e-05,0.58647084213151,0.12563428969452367,0
0.46762797378534965,0.4726501316249803,0.9995673437011554,1.5025834052491915e-10,0.48432075309765266,0.443994915526214,1.5015393026880434e-05,0.5865173105303921,0.12563357466847508,0
0.46778497055904006,0.4726315643556586,0.999589136142542,1.5344335398774878e-10,0.4843297754573974,0.4440313604998752,1.0552560118422445e-05,0.5865379631521175,0.1256339635755497,0
0.46775857677901417,0.47264190897713787,0.999567512186111,1.5070582175523407e-10,0.48432339435793287,0.4440272954835822,1.5323174606774066e-05,0.586526456691442,0.12563558217121606,0
0.46772787723194204,0.4726004641795448,0.9994844315919283,1.488464600913393e-10,0.48433145524080723,0.44401799734286607,2.0885666713471396e-06,0.5865725562935076,0.12563413799009232,0
0.4678275203710409,0.47261959509811374,0.9996181875865033,1.5246057447025695e-10,0.4843379598981923,0.44404388261903055,1.3014812757571688e-05,0.5865512767171941,0.12563526792053512,0
0.46770233991396226,0.4726882608387659,0.999514679497712,1.4921088953144368e-10,0.4843247905996087,0.4440176235482644,2.3633277263902578e-05,0.5864748988964918,0.12563336317047166,0
0.4676795371302255,0.4726182357087527,0.9996030297763705,1.514430765814476e-10,0.48432341628559933,0.44400383987232844,1.2245358807837563e-05,0.5865527887841419,0.12563695455150142,0
0.467692358327485,0.47263892495171117,0.9995616127079705,1.5630160630876636e-10,0.48432931283849373,0.4440054284993855,5.628054840124105e-06,0.5865297758627906,0.12563562084391988,0
0.46774993477919896,0.47264373254823194,0.9996826053342445,1.52316028048497e-10,0.4843275591016767,0.4440216418402322,1.793931803587007e-05,0.586524428308951,0.12563422489718779,0
0.4677190025627875,0.47269393048707664,0.9995096159420113,1.491900131251612e-10,0.4843259454593991,0.4440209409753541,1.3014812757571688e-05,0.5864685924709292,0.1256353135315968,0
0.4676522122320801,0.4727449573218732,0.9994470025917593,1.4846410417192726e-10,0.4843281680709491,0.4440076245426702,8.551979849113771e-06,0.5864118346408661,0.12563442066390912,0
0.46768502147191043,0.4727465819579389,0.9994714972477432,1.486640184538276e-10,0.4843237201776831,0.44401897855369543,1.9016553565497825e-05,0.5864100275364651,0.12563379955738155,0
0.4674974438519631,0.47269419573378124,0.9994864271089579,1.4888707831660622e-10,0.4843140775022497,0.44396949749330156,4.3969285205495045e-06,0.5864682974334761,0.12563463405755776,0
0.4677435570006313,0.47263421682270457,0.9994737859687899,1.486086505936872e-10,0.48433148118304925,0.44402089425102886,1.1322014068156571e-05,0.5865350127775854,0.1256360344615886,0
0.4678492315578785,0.4725728453664288,0.9996652575575096,1.5454208832709198e-10,0.4843324803615598,0.44404612538664046,1.5323174606774066e-05,0.586603277068324,0.1256344419468265,0
0.4677381920602587,0.47263149804398247,0.9996245934515297,1.5225816409630114e-10,0.48432733568601744,0.44402117459698015,1.0706450908369313e-05,0.5865380369114809,0.12563371198034531,0
0.46735936383836146,0.4727741013035407,0.9993840033603835,1.4814619281103924e-10,0.48430000922136607,0.4439408554819499,2.2094369364434328e-05,0.5863794174006935,0.12563343565606575,1
0.46758450495848186,0.4727842801458295,0.999320785804835,1.473576546389579e-10,0.48426151105613663,0.44399725174247434,6.70529036975187e-06,0.5863680953384263,0.12563351840582665,1
0.4676394291194335,0.4727616347084247,0.9993701037742512,1.4780672429148997e-10,0.4842994220364869,0.44400449401288133,1.0706450908369313e-05,0.5863932841609949,0.12563530696925065,0
0.4677504892463007,0.4726614046099256,0.9995538656044368,1.4974936466305484e-10,0.48432713380732517,0.44402696841330574,2.2709932524221588e-05,0.5865047714386303,0.12563363070691327,0
0.46768182000122566,0.4726016246338774,0.999583937856461,1.5072579049167811e-10,0.48432678029439447,0.4440047276345074,1.424593907714631e-05,0.5865712655046497,0.1256338490431955,0
0.4676826939265081,0.4726693620110635,0.9996385994851353,1.505204301907476e-10,0.48432452535662385,0.44401000748325575,4.0099591788212737e-05,0.5864959203150337,0.12563343532315374,0
0.4677330142096865,0.47266773737499784,0.9994867163726853,1.4899350260515478e-10,0.4843278567110108,0.4440216885645574,7.474744319485996e-06,0.5864977274194347,0.12563487246371724,0
0.4675679395469245,0.47268600624177687,0.9994844292122687,1.4880357269147648e-10,0.4843175618629108,0.4439803842610747,6.70529036975187e-06,0.5864774067148442,0.12563567015706167,0
0.46765000012900065,0.47269469307135237,0.999552267535318,1.5003754983673636e-10,0.4843205403820163,0.4440017840020194,1.0706450908369313e-05,0.5864677442382512,0.1256341870111143,0
0.4676526438819621,0.47263786396489277,0.9996281545322948,1.5355477046040834e-10,0.48432202624369364,0.4440001953749623,1.5169283816827197e-05,0.5865309560126035,0.12563360297813453,0
0.46767228680966044,0.4726210871108271,0.9995861746304938,1.5271994112657032e-10,0.48432417636703495,0.4440075310940198,9.16754300890106e-06,0.5865496171315197,0.12563337219962867,0
0.46776049563942823,0.47266362605107665,0.9995284435831864,1.4966971663473816e-10,0.484322740275124,0.44402776272683425,1.2707031177678058e-05,0.5865023004999596,0.12563591919693445,0
0.4677340518505964,0.47260895207409187,0.9994731077881374,1.4854829054943578e-10,0.4843315332790655,0.44402009993750036,2.0885666713471396e-06,0.5865631150950045,0.12563393772057613,0
0.46774720658681634,0.47262828192768924,0.9995864685732436,1.5083471087228215e-10,0.48433469930013157,0.4440236977105413,1.1168123278209808e-05,0.5865416142406011,0.1256352419747332,0
0.4677637237663906,0.4726845805407397,0.9994834691339937,1.4877089657729526e-10,0.48432810640405655,0.44403140722420037,2.378716805384934e-05,0.5864789925411552,0.12563355246663782,0
0.467710379193048,0.47263322214756237,0.99957569556805,1.503804221181795e-10,0.48432495298710604,0.44401215680221523,1.3168703547518451e-05,0.5865361191680349,0.12563690355695017,0
0.46770481318047974,0.47263660404304597,0.999533182414846,1.5431607853733863e-10,0.48433006403204615,0.4440083721318735,5.4741640501772805e-06,0.5865323574405064,0.1256358236376086,0
0.46774728425148565,0.47264257209389937,0.9996991527624165,1.526577657426422e-10,0.4843273205210308,0.4440208008023785,1.978600751523195e-05,0.5865257190978089,0.12563435963963518,0
0.4677246761213443,0.4726889239555274,0.9995104532180293,1.4917072514109593e-10,0.4843272003847301,0.4440206606294029,1.3630375917358948e-05,0.5864741613028588,0.12563550371127727,0
0.46766288890259,0.47275380993063915,0.9994524046625156,1.485174297749313e-10,0.4843286991083343,0.4440096804129793,7.474744319485996e-06,0.5864019877658649,0.12563448642202896,0
0.4676800660409876,0.47273577315472665,0.9994631114937829,1.4859639705086925e-10,0.48432284786740126,0.4440175768239392,1.6554300926348684e-05,0.5864220503126838,0.12563395234036506,0
0.46759091860801283,0.47270238522578567,0.9994443205689963,1.480209343733446e-10,0.48431161915474913,0.4439896824017909,4.85860089038998e-06,0.5864591881521078,0.1256353580311312,0
0.4677334535138772,0.4726337194851335,0.999459237435858,1.4838627148328727e-10,0.4843312024934496,0.44401911872667105,1.0860341698316178e-05,0.5865355659728101,0.12563602214127725,0
0.46774265267652754,0.47259011955806557,0.9996273400950451,1.5197406343689226e-10,0.4843270738206924,0.44402196891050866,1.4092048287199444e-05,0.5865840627541831,0.12563439979367214,0
0.46772321004182016,0.47263623932882715,0.9995785036537027,1.5051929560344964e-10,0.4843260187747816,0.44401753009961403,9.936996958635187e-06,0.5865327631170045,0.1256338596939903,0
0.4675231553930275,0.4727639556170899,0.9994076919271406,1.4774840650437488e-10,0.48431135774727346,0.4439805711583756,4.3969285205495045e-06,0.5863907025832792,0.12563323068806828,1
0.4676146092817181,0.4727913091835013,0.9992979872807131,1.4763676311425576e-10,0.4843036969555607,0.44399963468305986,1.424593907714631e-05,0.586360276845916,0.12563327306211486,1
0.46597856718515407,0.4728857038544993,0.9993603938666963,1.4815958094115511e-10,0.4842363181809298,0.4435868252698592,3.0096690441669208e-05,0.5862552803922514,0.12563369588340825,1
0.4673357454201495,0.4727761238096632,0.9993269289259475,1.4779560533596996e-10,0.48430579380443534,0.44393833236838876,1.5323174606774066e-05,0.5863771677401127,0.12563314045300653,1
0.46764902685315274,0.47275573296924744,0.9994258463081503,1.4814710048087758e-10,0.4842948714355439,0.4440043538399057,1.2245358807837563e-05,0.586399848744329,0.12563523306395205,0
0.4676927669436042,0.47268849292963244,0.9995158909464006,1.4911376885873837e-10,0.484326063382274,0.44400935334270286,2.378716805384934e-05,0.5864746407387202,0.1256335897746707,0
0.4676478269349957,0.4725789128847964,0.9996271603289308,1.5333897195633658e-10,0.48433147943614374,0.4439950089748644,1.3938157497252576e-05,0.5865965280865816,0.125633958800188,0
0.46757812327208464,0.4726675052841313,0.9996816372927988,1.5195001018617555e-10,0.48431890889289014,0.44398258030435944,4.1330718107787365e-05,0.5864979855772062,0.1256333251948602,0
0.4676821578041672,0.4726607083373261,0.9994916499986211,1.4920635118225184e-10,0.48432400983772006,0.4440073909210442,7.782525899379647e-06,0.586505545911945,0.12563451196695463,0
0.4676812864644276,0.4727000643171204,0.9994929861388407,1.4893654632279724e-10,0.48432158553874416,0.4440117362832884,8.859761429007412e-06,0.5864617697298236,0.1256353240650398,0
0.46760562294426744,0.4727069607314399,0.9994931900852574,1.4890818164034826e-10,0.48431962250720473,0.4439893086071892,9.936996958635187e-06,0.5864540987560398,0.12563408205540624,0
0.467664069446885,0.4726435336132035,0.9996565770647117,1.5346581881624835e-10,0.48432356295427464,0.4440011298614665,1.5323174606774066e-05,0.586524649587041,0.12563358925436724,0
0.46756753431916515,0.4726273535642232,0.9995646851406098,1.5030417785175668e-10,0.4843176708208716,0.4439787956340177,9.475324588794712e-06,0.5865426468716873,0.1256330578667284,0
0.4677132939537936,0.47265752537687095,0.9995854115213973,1.5151047106694636e-10,0.48432274307666595,0.4440126240454673,1.2553140387731193e-05,0.5865090863613837,0.12563545194026815,0
0.467685019699023,0.472605006529361,0.9994968976375483,1.4934545158498156e-10,0.4843312389602778,0.44400570884533674,2.2424574612939644e-06,0.5865675037771212,0.12563390861800539,0
0.46768221962697554,0.47268680198189067,0.9995912512195491,1.5106321675409103e-10,0.48433019499026797,0.44400841885619874,1.5015393026880434e-05,0.5864765216024845,0.12563469714489897,0
0.4678357679988348,0.472645987145221,0.9995455603476715,1.4976524888522627e-10,0.4843320271620922,0.4440419201973719,3.071225360145647e-05,0.5865219204905987,0.12563357996728075,0
0.4677774172459126,0.47262327539614,0.9995825126742955,1.5076981247883892e-10,0.4843294295089122,0.44402612737545205,1.486150223693357e-05,0.5865471830725306,0.12563700425661004,0
0.4676948698714489,0.47264127901621444,0.999532822773643,1.5267569222194993e-10,0.48432958953729066,0.4440061293642636,4.85860089038998e-06,0.5865271574053933,0.12563579191306648,0
0.4678116729021548,0.4726365377313698,0.9997696068930069,1.5426434135655172e-10,0.48433186291587377,0.4440355189648186,2.0709352254912943e-05,0.5865324311998696,0.12563435950735927,0
0.4677522131953521,0.47267476641266964,0.9994936846518475,1.488970626848283e-10,0.4843280299965526,0.44402327719161444,1.3630375917358948e-05,0.5864899089269243,0.12563535071508206,0
0.4676568635606641,0.47274893602244217,0.9995352952372274,1.4933501338184036e-10,0.48432905173198265,0.4440068769534669,8.551979849113771e-06,0.5864074090790677,0.12563423414060104,0
0.4677217642826163,0.4727329217526522,0.9994426881184116,1.4844436235294277e-10,0.4843255996681011,0.4440219221861834,1.7785427245923204e-05,0.5864252219653059,0.1256338890236796,0
0.46766193686203755,0.4727050708486697,0.9994343639356373,1.4787071501509484e-10,0.4843225080695841,0.44400664333184087,4.3969285205495045e-06,0.586456200897894,0.1256353017899678,0
